"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 09 20:04:53 GMT 2023","Wed Aug 09 20:04:53 GMT 2023","42","","uitests.tests.card.CardCRUDTest","","uitests.tests.card.CardCRUDTest","createCard","Create new card from Board Page",""
"broken","Wed Aug 09 20:04:51 GMT 2023","Wed Aug 09 20:04:53 GMT 2023","1225","","uitests.tests.board.BoardCRUDTest","","uitests.tests.board.BoardCRUDTest","createBoard","Create new board from Main Page",""
"passed","Wed Aug 09 20:04:35 GMT 2023","Wed Aug 09 20:04:39 GMT 2023","4315","","apitests.tests.BoardCRUDNegativeTest","","apitests.tests.BoardCRUDNegativeTest","createBoardWithEmptyPayload","Create board with empty payload",""
"passed","Wed Aug 09 20:04:42 GMT 2023","Wed Aug 09 20:04:44 GMT 2023","1696","","apitests.tests.BoardCRUDPositiveTest","","apitests.tests.BoardCRUDPositiveTest","createBoardWithRequiredParameters","Create new board using API",""
"passed","Wed Aug 09 20:04:39 GMT 2023","Wed Aug 09 20:04:42 GMT 2023","2818","","apitests.tests.BoardCRUDPositiveTest","","apitests.tests.BoardCRUDPositiveTest","deleteBoard","Delete a board using API",""
"passed","Wed Aug 09 20:04:44 GMT 2023","Wed Aug 09 20:04:51 GMT 2023","7431","","apitests.tests.BoardCRUDPositiveTest","","apitests.tests.BoardCRUDPositiveTest","updateBoardNameAndDescription","Update a board using API",""
