"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 16 08:20:26 GMT 2023","Wed Aug 16 08:20:39 GMT 2023","12242","","uitests.tests.card.CardCRUDTest","","uitests.tests.card.CardCRUDTest","createCard","Create new card from Board Page",""
"passed","Wed Aug 16 08:20:00 GMT 2023","Wed Aug 16 08:20:04 GMT 2023","3823","","apitests.tests.BoardCRUDNegativeTest","","apitests.tests.BoardCRUDNegativeTest","createBoardWithEmptyPayload","Create board with empty payload",""
"passed","Wed Aug 16 08:20:12 GMT 2023","Wed Aug 16 08:20:26 GMT 2023","14415","","uitests.tests.board.BoardCRUDTest","","uitests.tests.board.BoardCRUDTest","createBoard","Create new board from Main Page",""
"passed","Wed Aug 16 08:20:09 GMT 2023","Wed Aug 16 08:20:12 GMT 2023","2604","","apitests.tests.BoardCRUDPositiveTest","","apitests.tests.BoardCRUDPositiveTest","updateBoardNameAndDescription","Update a board using API",""
"passed","Wed Aug 16 08:20:07 GMT 2023","Wed Aug 16 08:20:09 GMT 2023","1894","","apitests.tests.BoardCRUDPositiveTest","","apitests.tests.BoardCRUDPositiveTest","createBoardWithRequiredParameters","Create new board using API",""
"passed","Wed Aug 16 08:20:04 GMT 2023","Wed Aug 16 08:20:07 GMT 2023","2997","","apitests.tests.BoardCRUDPositiveTest","","apitests.tests.BoardCRUDPositiveTest","deleteBoard","Delete a board using API",""
